ID;label;clause
1;Pago;“En caso se haya previsto... la entrega de adelantos, el estipulado en el artículo 153...”
1;Pago;“Las micro y pequeñas empresas... pueden otorgar como garantía... porcentaje que es retenido... con cargo a ser devuelto a la finalización...”
1;Pago;"""El pago se efectuará únicamente previa conformidad de la supervisión, dentro de un plazo máximo de quince (15) días calendario contados a partir de la aceptación de la factura."""
1;Pago;“La Entidad realizará el pago de la contraprestación pactada a favor del contratista en parciales.”
1;Pago;“Para efectos del pago de las contraprestaciones ejecutadas por el contratista, la Entidad debe contar con la siguiente documentación: Informe del funcionario responsable... Comprobante de pago... Informe del Evaluador.”
1;Pago;“LA ENTIDAD se obliga a pagar la contraprestación a EL CONTRATISTA en [INDICAR MONEDA]... dentro de los diez (10) días calendario siguientes de otorgada la conformidad...”
1;Pago;“En caso de retraso en el pago por parte de LA ENTIDAD... EL CONTRATISTA tendrá derecho al pago de intereses legales...”
1;Pago;“...se asigna una bonificación equivalente al diez por ciento (10%) sobre el puntaje total obtenido...”
1;Pago;“En caso de retraso en los pagos a cuenta o pago final por parte de la Entidad... esta reconoce al contratista los intereses legales correspondientes, de conformidad con el artículo 39 de la Ley...”
1;Pago;“Costo de bases: Impresa: S/ 10,00... Costo del expediente técnico: Impreso: S/ 150,00... Digital: S/ 10,00... Las bases y el expediente técnico se entregan inmediatamente después de realizado el pago correspondiente.”
1;Pago;“La Entidad otorgará un (01) adelanto directo por el diez por ciento (10%) del monto del contrato original... La Entidad otorgará adelantos para materiales o insumos por el veinte por ciento (20%) del monto del contrato original...”
1;Pago;“El periodo de valorización será MENSUAL... el plazo del pago de la valorización se regirá por lo dispuesto en el numeral 194.7... En caso distinto al mensual, se debe establecer los plazos y procedimiento aplicables...”
1;Pago;“La Entidad o el contratista... deben efectuar el pago del... saldo de la liquidación del contrato de obra, en el plazo de TREINTA (30) días calendario...”
1;Pago;“La Entidad otorgará un (01) Adelanto Directo por el diez por ciento (10 %) del monto del contrato original...”
1;Pago;“La Entidad otorgará adelantos para materiales o insumos por el veinte por ciento (20 %) del monto del contrato original...”
1;Pago;“Luego de la Recepción de la Obra, EL CONTRATISTA presentará la Liquidación del contrato... sometida a la aceptación u observación...”
1;Pago;“Las valorizaciones se elaboran en forma mensual... no deberá ser interpretada como aceptación... pudiendo rechazarse posteriormente.”
1;Pago;“Todos los equipos... serán considerados como propiedad de la DGER... no libera a EL CONTRATISTA de la responsabilidad total del mantenimiento...”
1;Pago;“Sin cuyo registro... no se tramitará la valorización mensual.”
1;Pago;“LA ENTIDAD tendrá un plazo de 30 d.c. para efectuar su pago.”
1;Pago;“Este monto comprende el costo de la ejecución de la obra... así como cualquier otro concepto que pueda tener incidencia sobre la ejecución de la prestación materia del presente contrato.”
1;Pago;“LA ENTIDAD se obliga a pagar la contraprestación... en periodos de valorización MENSUALES...”
1;Pago;“En caso de retraso en el pago... EL CONTRATISTA tiene derecho al reconocimiento de los intereses legales efectivos...”
1;Pago;“Las valorizaciones mensuales... se efectuarán proporcionalmente al desarrollo del proyecto... con estricta sujeción a las Especificaciones Técnicas...”
1;Pago;“El pago de cada Valorización Mensual de Avance de Obra, será cancelado... luego de su aprobación por parte del Supervisor.”
1;Pago;“EL CONTRATISTA recibirá el pago... menos las deducciones por concepto de adelantos y otros que correspondan.”
1;Pago;“Para efectuar cualquier pago, se deberá verificar que EL CONTRATISTA haya cumplido con entregar... las garantías... y el Seguro Complementario de Trabajo de Riesgo, Pensiones y Salud.”
1;Pago;“La devolución de la Garantía, se efectuará luego de consentida la Liquidación Final del Contrato... después del cual... le será devuelta.”
1;Pago;“El pago de los presupuestos adicionales aprobados se realiza mediante valorizaciones adicionales.”
1;Pago;“La ampliación de plazo obliga a EL CONTRATISTA, como condición para el pago de los mayores gastos generales, a presentar al Supervisor la programación CPM... en un plazo que no puede exceder de siete (07) días...”
1;Pago;“Sólo cuando la ampliación de plazo sea generada por la paralización total de la obra... da lugar al pago de mayores gastos generales variables debidamente acreditados...”
1;Pago;“Las prestaciones... como consecuencia de observaciones no dan derecho al pago de ningún concepto a favor de EL CONTRATISTA...”
1;Pago;“...se reconoce a EL CONTRATISTA los gastos generales debidamente acreditados...”
1;Pago;“...la entidad contratante debe entregar dicha documentación en el menor tiempo posible, previo pago de la tasa por tal concepto previsto en el Texto Único de Procedimientos Administrativos (TUPA)...”
